"Refs","Value","Footprint","Qty","DNP"
"BT1","9V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"C1","100uF/16V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C2","1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C3","1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C4","1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C5","1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C6","0.1uF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C7","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C8","0.1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C9","0.1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C10","1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"C11","0.1uF","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","1",""
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","1",""
"D2","1N4148","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","1",""
"IC1","LM13700","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"IC3","TC4013BP","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"J1","6.3mm TRS(mono use)","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HF_Horizontal","1",""
"J2","6.3mm TS(out)","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal","1",""
"LED1","LED","LED_THT:LED_D3.0mm","1",""
"Q1","2SC1815","Package_TO_SOT_THT:TO-92","1",""
"Q2","2SC1815","Package_TO_SOT_THT:TO-92","1",""
"R1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8","7.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R9","75k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R10","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R11","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R12","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R13","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R14","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R15","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R16","150R 1/2W","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R17","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R18","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R19","3.3M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R20","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R21","1.6k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RL1","941H-2C-5D","Relay_THT:Relay_DPDT_Schrack-RT2-FormC_RM5mm","1",""
"SW1","Cherry MX (手持ち)","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"U1","TL072","Package_DIP:DIP-8_W7.62mm_Socket","1",""
"VR1","10k(B) Sustain","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","1",""
"VR2","10k(A) Level","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","1",""
