Comment,Designator,Footprint,LCSC
10uF,C7,CP_Radial_D5.0mm_P2.00mm,
10k,R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
2.2k,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1uF,C10,C_Radial_D5.0mm_H11.0mm_P2.00mm,
TL072,U1,DIP-8_W7.62mm_Socket,
1N4148,D1,D_DO-35_SOD27_P10.16mm_Horizontal,
1M,R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
2.2k,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N4148,D2,D_DO-35_SOD27_P10.16mm_Horizontal,
1uF,C3,C_Radial_D5.0mm_H11.0mm_P2.00mm,
2SC1815,Q2,TO-92,
LM13700,IC1,DIP-16_W7.62mm_Socket,
100k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
100k,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1M,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
100k,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
941H-2C-5D,RL1,Relay_DPDT_Schrack-RT2-FormC_RM5mm,
10k(A) Level,VR2,Potentiometer_Alps_RK09K_Single_Vertical,
1uF,C5,C_Radial_D5.0mm_H11.0mm_P2.00mm,
0.1uF,C6,C_Disc_D3.0mm_W2.0mm_P2.50mm,
1.6k,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
100uF/16V,C1,CP_Radial_D6.3mm_P2.50mm,
0.1uF,C9,C_Radial_D5.0mm_H11.0mm_P2.00mm,
220k,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
LED,LED1,LED_D3.0mm,
3.3M,R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
100k,R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
7.5k,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
10k(B) Sustain,VR1,Potentiometer_Alps_RK09K_Single_Vertical,
0.1uF,C11,C_Radial_D5.0mm_H11.0mm_P2.00mm,
100k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
2SC1815,Q1,TO-92,
47k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
47k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1uF,C4,C_Radial_D5.0mm_H11.0mm_P2.00mm,
100k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
6.3mm TS(out),J2,Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal,
2.2k,R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
75k,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
Cherry MX (手持ち),,SW_Cherry_MX_1.00u_PCB,
0.1uF,C8,C_Radial_D5.0mm_H11.0mm_P2.00mm,
150R 1/2W,R16,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,
10k,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1uF,C2,C_Radial_D5.0mm_H11.0mm_P2.00mm,
9V,BT1,PinHeader_1x02_P2.54mm_Vertical,
TC4013BP,IC3,DIP-14_W7.62mm_Socket,
6.3mm TRS(mono use),J1,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal,
